year,commune,nbre_pdc,total_bornes
2022,saint-maximin,1.0,1.0
2022,saint-nazaire-d'aude,1.0,1.0
2022,saint-paul-de-varax,1.0,1.0
2022,saint-pierre-lès-nemours,1.0,1.0
2022,saint-priest-les-fougères,1.0,1.0
2022,saint-quentin,1.0,2.0
2022,saint-victoret,1.0,1.0
2022,saint-étienne-du-bois,1.0,1.0
2022,saint-étienne-lès-remiremont,1.0,1.0
2022,sainte-foy-lès-lyon,1.0,1.0
2022,sainte-geneviève-des-bois,1.0,1.0
2022,sainte-tulle,1.0,1.0
2022,salon-de-provence,1.0,1.0
2022,sarlat-la-canéda,1.0,1.0
2022,sarreguemines,1.0,1.0
2022,sault-lès-rethel,1.0,1.0
2022,saumur,1.0,1.0
2022,savignac-les-ormeaux,1.0,1.0
2022,sceaux-du-gâtinais,1.0,1.0
2022,sedan,1.0,1.0
2022,senlis,1.0,1.0
2022,sequedin,1.0,1.0
2022,seynod,1.0,2.0
2022,seyssinet-pariset,4.0,4.0
2022,soissons,1.0,1.0
2022,sélestat,1.0,1.0
2022,thonon-les-bains,1.0,1.0
2022,tosny,1.0,1.0
2022,toulis-et-attencourt,1.0,1.0
2022,toulouse,2.0,2.0
2022,trappes,1.0,2.0
2022,tremblois-lès-carignan,1.0,1.0
2022,trélissac,1.0,1.0
2022,ussel-d'allier,1.0,1.0
2022,valence,1.0,2.0
2022,varennes-sur-seine,1.0,1.0
